,cell.ID,nucleus.x,nucleus.y,CD15.score.normalized,CK.score.normalized,CD3.score.normalized,CD11c.score.normalized,CD20.score.normalized,CD163.score.normalized,tissue.type,in.ROI.adipose_tissue,in.ROI.necrosis,in.ROI.tumor_tissue
177,249,9668.17,45715.11,0.0,0.15,0.28,0.06,0.06,0.41,stroma,False,False,True
178,250,9553.57,45626.85,0.32,2.44,3.16,0.78,0.37,0.43,tumor,False,False,True
179,251,9543.02,45799.92,0.04,0.93,0.35,0.2,0.03,0.33,stroma,False,False,True
180,252,9782.92,45559.03,0.08,1.22,0.51,0.1,0.1,0.39,stroma,False,False,True
181,253,9718.33,45301.61,0.0,0.85,0.16,0.16,0.07,1.19,stroma,False,False,True
182,254,9482.97,45612.87,0.68,1.56,0.04,0.45,0.19,0.05,tumor,False,False,True
183,255,9524.17,45783.93,0.0,0.77,0.18,0.62,0.11,0.28,stroma,False,False,True
184,256,9747.24,45554.4,0.15,1.12,0.51,0.0,0.07,0.48,stroma,False,False,True
185,257,9618.77,45738.3,0.12,0.25,0.29,0.23,0.18,0.04,stroma,False,False,True
186,258,9751.23,45422.48,0.0,0.0,1.05,0.0,0.05,0.06,stroma,False,False,True
187,259,9477.42,45602.74,0.0,2.6,0.02,0.8,0.21,0.02,tumor,False,False,True
188,260,9778.38,45336.12,0.0,0.07,0.86,0.0,0.0,0.56,stroma,False,False,True
189,261,9710.81,45543.51,0.01,1.08,0.47,0.66,0.12,0.04,stroma,False,False,True
190,262,9684.09,45663.67,0.58,1.21,0.44,0.5,0.28,0.41,stroma,False,False,True
191,263,9461.74,45616.81,0.21,0.55,0.27,0.17,0.06,1.18,stroma,False,False,True
192,264,9799.85,45580.3,0.21,0.14,0.38,0.0,0.15,0.24,stroma,False,False,True
193,265,9565.34,45576.74,0.0,0.58,0.15,0.44,0.11,0.0,tumor,False,False,True
194,266,9598.86,45713.93,0.38,0.59,0.16,0.0,0.09,0.59,stroma,False,False,True
