,cell.ID,nucleus.x,nucleus.y,CD4.score.normalized,CK.score.normalized,CD3.score.normalized,CD56.score.normalized,CD8.score.normalized,FOXP3.score.normalized,tissue.type,in.ROI.adipose_tissue,in.ROI.tumor_tissue
165,554,14780.46,38259.71,0.07,0.12,0.72,0.08,0.0,0.0,stroma,False,True
166,555,14722.74,38354.09,0.96,0.18,2.97,0.25,0.53,0.68,stroma,False,True
167,556,14592.51,38579.33,0.0,2.57,0.0,0.07,0.11,0.06,tumor,False,True
168,557,14719.09,38611.73,1.52,1.78,0.86,0.23,2.27,0.11,tumor,False,True
169,558,14898.44,38215.09,0.99,0.14,1.95,0.24,0.0,1.17,stroma,False,True
170,559,14547.47,38041.94,0.0,0.19,0.0,0.12,0.3,0.24,stroma,False,True
171,560,14666.42,38131.6,0.24,0.01,0.22,0.0,0.22,0.0,stroma,False,True
172,561,14860.67,38214.73,0.08,0.21,0.43,0.11,0.29,0.0,stroma,False,True
173,562,14757.33,38059.9,1.18,0.5,1.45,0.16,0.59,0.0,stroma,False,True
174,563,14977.99,38485.5,0.0,0.07,0.22,0.07,0.11,0.13,stroma,False,True
175,564,14853.68,38441.07,0.0,0.29,0.49,0.18,0.0,0.07,stroma,False,True
176,565,14471.17,38484.46,2.09,1.12,1.22,0.29,0.63,0.36,stroma,False,True
177,566,14562.43,38341.08,0.17,0.0,0.2,0.14,0.0,0.3,stroma,False,True
178,567,14851.6,38315.28,0.35,0.81,0.98,0.26,0.59,0.3,stroma,False,True
179,568,14801.22,38314.32,1.33,0.25,4.63,0.32,0.85,3.78,stroma,False,True
180,569,14426.0,38386.18,2.48,1.48,0.58,0.23,0.86,0.22,stroma,False,True
181,570,14592.27,38293.62,0.13,0.2,0.49,0.08,0.14,0.18,stroma,False,True
182,571,14999.68,38253.89,0.05,0.15,0.39,0.15,0.81,0.15,stroma,False,True
183,572,14918.98,38549.91,0.32,0.25,0.0,0.02,0.0,0.07,stroma,False,True
184,573,14818.56,38102.49,0.41,0.2,0.07,0.08,0.0,0.0,stroma,False,True
185,574,14536.39,38572.38,0.0,3.1,0.04,0.23,0.22,0.29,tumor,False,True
186,575,14921.05,38153.93,0.76,0.15,0.97,0.07,0.0,0.04,stroma,False,True
187,576,14523.41,38483.18,0.65,0.9,0.32,0.32,0.54,0.27,stroma,False,True
188,577,14976.75,38371.13,0.14,0.29,0.08,0.11,0.0,0.0,stroma,False,True
189,578,14462.15,38576.23,0.18,2.87,0.12,0.09,0.0,0.27,tumor,False,True
190,579,14582.99,38149.07,0.0,0.0,0.0,0.07,0.05,0.0,stroma,False,True
191,580,14917.38,38182.66,0.37,0.05,1.01,0.21,0.24,0.15,stroma,False,True
192,581,14925.75,38414.2,0.09,0.25,0.49,0.05,0.03,0.04,stroma,False,True
193,582,14754.53,38343.6,1.86,0.16,2.32,0.62,1.16,5.4,stroma,False,True
194,583,14443.88,38223.5,0.0,0.0,0.16,0.14,0.0,0.2,stroma,False,True
195,584,14672.38,38248.65,0.02,0.0,0.24,0.14,0.37,0.0,stroma,False,True
196,585,15006.34,38518.19,0.0,0.12,0.11,0.01,0.66,0.03,stroma,False,True
197,586,14757.09,38445.65,1.11,0.36,3.19,0.32,1.0,0.06,stroma,False,True
198,587,14749.53,38583.89,0.0,0.02,0.17,0.16,0.0,0.22,stroma,False,True
199,588,14471.69,38398.42,0.79,0.37,1.73,0.12,0.58,0.07,stroma,False,True
200,589,14805.7,38442.62,0.13,0.24,1.03,0.1,1.92,0.16,stroma,False,True
201,590,14586.37,38037.36,0.0,0.14,0.01,0.03,0.01,0.0,stroma,False,True
202,591,14829.58,38600.82,0.71,0.31,0.16,0.07,0.5,0.0,stroma,False,True
203,592,14919.67,38159.86,0.59,0.15,3.81,0.17,1.66,0.38,stroma,False,True
204,593,14644.14,38604.69,0.22,2.65,0.14,0.06,0.0,0.3,tumor,False,True
205,594,14661.93,38472.53,0.72,0.15,0.0,0.11,0.28,0.01,stroma,False,True
206,595,14541.86,38359.08,0.0,0.0,0.24,0.04,0.0,0.16,stroma,False,True
207,596,14944.59,38236.66,0.0,0.17,0.5,0.03,0.0,0.0,stroma,False,True
208,597,14539.56,38351.48,0.12,0.0,0.44,0.19,0.46,0.24,stroma,False,True
209,598,14424.38,38054.49,0.17,0.0,0.17,0.03,0.44,0.0,stroma,False,True
210,599,14520.21,38584.14,0.83,1.58,2.75,0.26,0.43,0.52,tumor,False,True
211,600,14865.67,38225.42,0.0,0.37,0.62,0.05,0.43,0.09,stroma,False,True
212,601,14761.23,38366.1,0.57,0.57,1.01,0.19,1.01,0.0,stroma,False,True
213,602,14579.8,38201.72,0.54,0.0,0.0,0.05,0.47,0.0,stroma,False,True
214,603,14553.1,38348.45,2.64,0.09,4.09,0.4,2.0,0.41,stroma,False,True
215,604,14688.29,38294.15,0.0,0.2,0.65,0.0,0.82,0.1,stroma,False,True
216,605,14875.03,38405.4,0.3,0.42,0.19,0.16,0.37,0.03,stroma,False,True
217,606,14771.58,38498.28,0.49,0.38,2.21,0.16,1.21,0.05,stroma,False,True
218,607,14967.32,38323.85,1.19,0.4,2.43,0.25,2.11,0.5,stroma,False,True
219,608,14844.08,38293.24,0.62,0.26,1.34,0.15,0.18,0.0,stroma,False,True
220,609,14709.59,38421.4,0.0,0.05,0.28,0.09,0.11,0.0,stroma,False,True
221,610,14735.71,38371.95,0.14,0.01,0.55,0.19,0.49,0.0,stroma,False,True
222,611,14689.51,38568.51,0.06,0.15,0.39,0.11,0.01,0.09,stroma,False,True
223,612,14838.61,38386.63,0.0,0.49,0.08,0.15,0.13,0.13,stroma,False,True
224,613,14760.09,38434.38,0.35,0.23,3.13,0.46,2.72,0.33,stroma,False,True
